rank,pred_dist_m,obs_l,obs_w,obs_h,obs_x,obs_y,obs_r,obs_z,distanza_reale_m,landato,collisione_reale,errore_surrogato_m,timeout,durata_s,errore
1,0.0,5.9144,5.6073,3.0596,-5.0,2.4859,110.2525,0.0,0.0,True,True,0.0,False,150.2,
2,0.0,5.8395,4.3667,3.0604,-5.0,1.4,110.4569,0.0,0.023,True,False,0.023,False,128.1,
3,0.2384,5.7191,5.4023,3.0,-5.0014,1.2318,164.4381,0.0,0.039,True,False,0.199,False,127.7,
4,0.0,5.599,5.3016,3.5103,-5.3104,1.226,117.6422,0.0,0.0,True,True,0.0,False,140.7,
5,0.3274,5.6647,5.4525,3.0841,-5.1296,0.0506,116.8298,0.0,0.055,True,False,0.272,False,124.6,
6,0.0511,5.9008,5.0996,3.0871,-5.4731,1.4841,122.4872,0.0,0.0,True,True,0.051,False,127.1,
7,0.1092,5.4609,5.7655,3.1323,-5.5498,1.4186,120.1992,0.0,0.0,True,True,0.109,False,136.9,
8,0.0,5.5605,5.3339,3.0467,-5.3318,1.3831,102.1118,0.0,0.084,True,False,0.084,False,137.7,
9,0.0,5.9722,5.58,3.0559,-5.1111,1.169,116.7136,0.0,0.0,True,True,0.0,False,137.2,
10,0.0,5.8469,6.0,3.1069,-5.104,1.4713,120.4856,0.0,0.0,True,True,0.0,False,139.1,
11,0.0,5.3963,5.2082,3.1303,-5.4822,1.5049,124.5557,0.0,0.0,True,True,0.0,False,129.0,
12,0.0,5.6386,5.2832,3.0,-5.0,1.1055,125.2754,0.0,0.0,True,True,0.0,False,139.2,
13,0.5077,5.6896,5.5683,3.0,-5.0197,3.2029,121.3353,0.0,,,,,False,7.9,no_log_saved
14,0.031,5.3351,5.4943,3.1159,-5.063,1.2904,117.4812,0.0,0.0,True,True,0.031,False,140.2,
15,0.0062,5.6871,5.5396,3.078,-5.1069,1.7991,114.2708,0.0,0.0,True,True,0.006,False,153.0,
16,0.0,5.9388,5.324,3.1826,-5.0924,1.237,116.5769,0.0,0.0,True,True,0.0,False,145.1,
17,0.0,5.7062,5.7293,3.0624,-5.0769,0.9423,116.652,0.0,0.0,True,True,0.0,False,143.2,
18,0.1387,5.5801,5.0789,3.05,-5.1022,1.5827,118.7845,0.0,0.0,True,True,0.139,False,148.0,
19,0.0,5.8552,5.8324,3.0801,-5.1139,1.3553,105.7784,0.0,0.0,True,True,0.0,False,123.8,
20,0.0342,5.8453,5.5641,3.0593,-5.5652,1.6004,120.2764,0.0,0.0,True,True,0.034,False,125.5,
21,0.0,5.8258,5.6884,3.0938,-5.0643,1.6345,123.8924,0.0,0.0,True,True,0.0,False,129.9,
22,0.0,5.7492,5.4899,3.0508,-5.1352,0.9818,111.8722,0.0,0.058,True,False,0.058,False,140.5,
23,0.0,5.5965,5.6937,3.0058,-5.0556,1.4854,117.288,0.0,0.0,True,True,0.0,False,127.4,
24,0.0,5.5153,5.3389,3.0627,-5.2413,1.2552,116.9951,0.0,0.072,True,False,0.072,False,138.1,
25,0.0,5.6988,5.1993,3.1262,-5.095,1.6208,126.7768,0.0,0.0,True,True,0.0,False,142.7,
26,0.0,5.6449,6.0,3.039,-5.1311,1.4327,115.2393,0.0,0.0,True,True,0.0,False,127.5,
27,0.0,5.7541,5.2123,3.0465,-5.2241,1.344,117.3072,0.0,0.14,True,False,0.14,False,132.0,
28,0.0,5.5842,5.7149,3.1501,-5.1308,1.3072,116.8152,0.0,0.0,True,True,0.0,False,129.9,
29,0.0956,5.4224,5.1622,3.1265,-5.036,1.4646,118.7909,0.0,0.0,True,True,0.096,False,133.0,
30,0.0,5.8555,5.6414,3.0597,-5.0573,1.6092,111.7557,0.0,0.0,True,True,0.0,False,119.6,
31,0.0,5.7529,5.4592,3.0973,-5.0489,1.3164,120.626,0.0,0.0,True,True,0.0,False,138.9,
32,0.0,5.9145,5.3927,3.0333,-5.0908,1.2256,120.1148,0.0,0.04,True,False,0.04,False,130.6,
33,0.0748,5.456,5.3062,3.092,-5.7573,1.2956,120.6009,0.0,0.0,True,True,0.075,False,140.6,
34,0.0,5.6592,5.407,3.0125,-5.2476,1.4794,115.2576,0.0,0.0,True,True,0.0,False,138.0,
35,0.0,5.4001,5.7153,3.1476,-5.2747,1.5151,112.5934,0.0,0.0,True,True,0.0,False,128.7,
36,0.0,5.8863,5.8364,3.0686,-5.1059,1.619,118.0011,0.0,0.0,True,True,0.0,False,136.3,
37,0.0,5.8397,5.5938,3.0689,-5.0914,1.0249,123.814,0.0,0.0,True,True,0.0,False,144.9,
38,0.0,5.8125,5.5087,3.0766,-5.0922,1.6929,125.6692,0.0,0.0,True,True,0.0,False,126.8,
39,0.0,5.8055,5.8428,3.0374,-5.0,1.147,118.7294,0.0,0.0,True,True,0.0,False,137.3,
40,0.0,5.6023,5.4903,3.0634,-5.0505,1.2647,112.6565,0.0,0.0,True,True,0.0,False,136.1,
41,0.0,5.7182,5.6323,3.0622,-5.1285,1.3534,115.0348,0.0,0.0,True,True,0.0,False,125.9,
42,0.0,5.7973,5.4147,3.0945,-5.0799,1.6923,114.9899,0.0,0.0,True,True,0.0,False,151.2,
43,0.0,5.5154,5.5772,3.0569,-5.0979,1.4217,120.5299,0.0,0.0,True,True,0.0,False,127.6,
44,0.0,5.7113,5.6017,3.079,-5.0738,1.5855,106.0828,0.0,0.0,True,True,0.0,False,135.2,
45,0.297,5.7953,5.6394,3.0646,-5.1016,2.7383,113.247,0.0,0.029,True,False,0.268,False,136.4,
46,0.0,5.6408,5.3141,3.0538,-5.1063,1.4489,121.2853,0.0,0.0,True,True,0.0,False,133.4,
47,0.0,5.8624,5.6891,3.0302,-5.0114,1.2976,121.1444,0.0,0.0,True,True,0.0,False,124.2,
48,0.0,5.8205,5.5139,3.0565,-5.1108,1.4282,113.5142,0.0,0.0,True,True,0.0,False,131.5,
